id,corpus,claim,role_swap,event_sub,order_break,metaphor,source_jump,new_rule,rule,family,fanout_bits_lb,source_selector_bits_lb,selector_lb
F15,Faust,image of crucified Christ on cloth = Shroud/holy image,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F16,Faust,postmortem appearance to students = Resurrection,0,0,0,0,0,0,R6,R6,1.584962500721156,0.0,1.584962500721156
U01,Eulenspiegel,birth episode = Caesarean birth of Christ,0,1,0,1,1,1,NEW,N2,4.0,1.0,5.0
U02,Eulenspiegel,threatened hanging on tree = Crucifixion,0,1,0,0,0,0,R5,R5,2.0,0.0,2.0
U03,Eulenspiegel,apple filled with flies = Adam/Eve forbidden apple,0,1,0,1,0,1,NEW,N7,4.0,0.0,4.0
U04,Eulenspiegel,three baptisms / baptism scene = Baptism and Trinity,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
U05,Eulenspiegel,bad smell = Holy Spirit,0,1,0,1,0,1,NEW,N10,3.0,0.0,3.0
U06,Eulenspiegel,hospital trick = healing miracle,0,1,0,0,0,0,R4,R4,2.0,0.0,2.0
U07,Eulenspiegel,water/wine vessel trick = Cana,0,1,0,0,0,0,R4,R4,2.0,0.0,2.0
U08,Eulenspiegel,betrayal/payment episode = Judas's thirty silver,0,1,0,1,0,1,NEW,N3,3.0,0.0,3.0
U09,Eulenspiegel,sentenced to hang but escapes = death and Resurrection,0,1,0,0,0,0,R6,R6,1.584962500721156,0.0,1.584962500721156
U10,Eulenspiegel,coffin/burial mishap = death and Resurrection,0,1,0,1,0,0,R6,R6,1.584962500721156,0.0,1.584962500721156
D01,Don Juan,slain Commander returns = Lazarus,1,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
D02,Don Juan,dinner with returning Commander = Gospel/Passion meal complex,1,1,0,0,0,1,NEW,N11,3.0,0.0,3.0
D03,Don Juan,meal by tomb = Last Supper,0,1,0,0,0,0,R3,R3,1.0,0.0,1.0
D04,Don Juan,dragged into grave/hell = Christ's death/descent into hell,0,1,0,0,0,0,R5,R5,2.0,0.0,2.0
D05,Don Juan,skull under feet = Adam skull beneath Cross,0,0,0,1,0,1,NEW,N7,4.0,0.0,4.0
D06,Don Juan,alternate version returns alive from tomb = Resurrection,0,1,0,0,1,0,R6,R6,1.584962500721156,1.0,2.584962500721156
